human_gene_id	mouse_gene_id	human_symbol	mouse_symbol	symbol_match
102	11487	ADAM10	Adam10	match
103	56417	ADAR	Adar	match
104	110532	ADARB1	Adarb1	match
105	94191	ADARB2	Adarb2	match
107	432530	ADCY1	Adcy1	match
108	210044	ADCY2	Adcy2	match
111	224129	ADCY5	Adcy5	match
112	11512	ADCY6	Adcy6	match
113	11513	ADCY7	Adcy7	match
114	11514	ADCY8	Adcy8	match
115	11515	ADCY9	Adcy9	match
116	11516	ADCYAP1	Adcyap1	match
117	11517	ADCYAP1R1	Adcyap1r1	match
118	11518	ADD1	Add1	match
119	11519	ADD2	Add2	match
120	27360	ADD3	Add3	match
123	11520	PLIN2	Plin2	match
126	11522	ADH1C	Adh1	human_extra_suffix
127	26876	ADH4	Adh4	match
128	11532	ADH5	Adh5	match
131	11529	ADH7	Adh7	match
132	11534	ADK	Adk	match
133	11535	ADM	Adm	match
134	11539	ADORA1	Adora1	match
135	11540	ADORA2A	Adora2a	match
136	11541	ADORA2B	Adora2b	match
140	11542	ADORA3	Adora3	match
141	11544	ADPRH	Adprh	match
142	11545	PARP1	Parp1	match
143	328417	PARP4	Parp4	match
146	11550	ADRA1D	Adra1d	match
147	11548	ADRA1B	Adra1b	match
148	11549	ADRA1A	Adra1a	match
150	11551	ADRA2A	Adra2a	match
151	11552	ADRA2B	Adra2b	match
152	11553	ADRA2C	Adra2c	match
153	11554	ADRB1	Adrb1	match
154	11555	ADRB2	Adrb2	match
155	11556	ADRB3	Adrb3	match
156	110355	GRK2	Grk2	match
157	320129	GRK3	Grk3	match
158	11564	ADSL	Adsl	match
159	11566	ADSS2	Adss2	match
160	11771	AP2A1	Ap2a1	match
161	11772	AP2A2	Ap2a2	match
162	11764	AP1B1	Ap1b1	match
163	71770	AP2B1	Ap2b1	match
164	11765	AP1G1	Ap1g1	match
165	11568	AEBP1	Aebp1	match
166	14797	TLE5	Tle5	match
167	11571	CRISP1	Crisp1	match
173	280662	AFM	Afm	match
174	11576	AFP	Afp	match
175	11593	AGA	Aga	match
176	11595	ACAN	Acan	match
177	11596	AGER	Ager	match
178	77559	AGL	Agl	match
181	11604	AGRP	Agrp	match
182	16449	JAG1	Jag1	match
183	11606	AGT	Agt	match
185	11608	AGTR1	Agtr1b	mouse_extra_suffix
186	11609	AGTR2	Agtr2	match
187	23796	APLNR	Aplnr	match
189	11611	AGXT	Agxt	match
190	11614	NR0B1	Nr0b1	match
191	269378	AHCY	Ahcy	match
196	11622	AHR	Ahr	match
197	11625	AHSG	Ahsg	match
199	11629	AIF1	Aif1	match
202	11630	CRYBG1	Crybg1	match
203	11636	AK1	Ak1	match
204	11637	AK2	Ak2	match
205	11639	AK4	Ak4	match
207	11651	AKT1	Akt1	match
208	11652	AKT2	Akt2	match
210	17025	ALAD	Alad	match
211	11655	ALAS1	Alas1	match
212	11656	ALAS2	Alas2	match
213	11657	ALB	Alb	match
214	11658	ALCAM	Alcam	match
215	11666	ABCD1	Abcd1	match
217	11669	ALDH2	Aldh2	match
218	11670	ALDH3A1	Aldh3a1	match
219	72535	ALDH1B1	Aldh1b1	match
220	56847	ALDH1A3	Aldh1a3	match
221	67689	ALDH3B1	Aldh3b1	match
223	56752	ALDH9A1	Aldh9a1	match
225	26874	ABCD2	Abcd2	match
226	11674	ALDOA	Aldoa	match
229	230163	ALDOB	Aldob	match
230	11676	ALDOC	Aldoc	match
231	11677	AKR1B1	Akr1b1	match
238	11682	ALK	Alk	match
239	11684	ALOX12	Alox12	match
240	11689	ALOX5	Alox5	match
241	11690	ALOX5AP	Alox5ap	match
242	11686	ALOX12B	Alox12b	match
247	11688	ALOX15B	Alox8	mismatch
248	76768	ALPI	Alpi	match
249	11647	ALPL	Alpl	match
257	11694	ALX3	Alx3	match
258	11698	AMBN	Ambn	match
259	11699	AMBP	Ambp	match
262	11702	AMD1	Amd1	match
265	11704	AMELX	Amelx	match
267	23802	AMFR	Amfr	match
268	11705	AMH	Amh	match
269	110542	AMHR2	Amhr2	match
270	229665	AMPD1	Ampd1	match
271	109674	AMPD2	Ampd2	match
272	11717	AMPD3	Ampd3	match
273	218038	AMPH	Amph	match
274	30948	BIN1	Bin1	match
275	434437	AMT	Amt	match
283	11727	ANG	Ang	match
284	11600	ANGPT1	Angpt1	match
285	11601	ANGPT2	Angpt2	match
286	11733	ANK1	Ank1	match
287	109676	ANK2	Ank2	match
288	11735	ANK3	Ank3	match
290	16790	ANPEP	Anpep	match
291	11739	SLC25A4	Slc25a4	match
292	11740	SLC25A5	Slc25a5	match
301	16952	ANXA1	Anxa1	match
302	12306	ANXA2	Anxa2	match
306	11745	ANXA3	Anxa3	match
307	11746	ANXA4	Anxa4	match
308	11747	ANXA5	Anxa5	match
309	11749	ANXA6	Anxa6	match
310	11750	ANXA7	Anxa7	match
311	11744	ANXA11	Anxa11	match
312	69787	ANXA13	Anxa13	match
313	27052	AOAH	Aoah	match
314	237940	AOC2	Aoc2	match
316	11761	AOX1	Aox1	match
317	11783	APAF1	Apaf1	match
318	66401	NUDT2	Nudt2	match
319	103161	APOF	Apof	match
320	319924	APBA1	Apba1	match
321	11784	APBA2	Apba2	match
322	11785	APBB1	Apbb1	match
323	11787	APBB2	Apbb2	match
324	11789	APC	Apc	match
325	20219	APCS	Apcs	match
326	11634	AIRE	Aire	match
327	235606	APEH	Apeh	match
328	11792	APEX1	Apex1	match
329	11797	BIRC2	Birc2	match
331	11798	XIAP	Xiap	match
332	11799	BIRC5	Birc5	match
333	11803	APLP1	Aplp1	match
334	11804	APLP2	Aplp2	match
335	11806	APOA1	Apoa1	match
336	11807	APOA2	Apoa2	match
337	11808	APOA4	Apoa4	match
338	238055	APOB	Apob	match
339	11810	APOBEC1	Apobec1	match
341	11812	APOC1	Apoc1	match
343	11833	AQP8	Aqp8	match
344	11813	APOC2	Apoc2	match
345	11814	APOC3	Apoc3	match
346	11425	APOC4	Apoc4	match
347	11815	APOD	Apod	match
348	11816	APOE	Apoe	match
350	11818	APOH	Apoh	match
351	11820	APP	App	match
353	11821	APRT	Aprt	match
355	14102	FAS	Fas	match
356	14103	FASLG	Fasl	human_extra_suffix
357	110380	SHROOM2	Shroom2	match
358	11826	AQP1	Aqp1	match
359	11827	AQP2	Aqp2	match
360	11828	AQP3	Aqp3	match
361	11829	AQP4	Aqp4	match
362	11830	AQP5	Aqp5	match
363	11831	AQP6	Aqp6	match
364	11832	AQP7	Aqp7	match
366	64008	AQP9	Aqp9	match
367	11835	AR	Ar	match
368	27421	ABCC6	Abcc6	match
369	11836	ARAF	Araf	match
372	213827	ARCN1	Arcn1	match
373	81003	TRIM23	Trim23	match
374	11839	AREG	Areg	match
375	11840	ARF1	Arf1	match
377	11842	ARF3	Arf3	match
378	11843	ARF4	Arf4	match
379	80981	ARL4D	Arl4d	match
381	11844	ARF5	Arf5	match
382	11845	ARF6	Arf6	match
383	11846	ARG1	Arg1	match
384	11847	ARG2	Arg2	match
387	11848	RHOA	Rhoa	match
388	11852	RHOB	Rhob	match
389	11853	RHOC	Rhoc	match
390	74194	RND3	Rnd3	match
391	56212	RHOG	Rhog	match
392	228359	ARHGAP1	Arhgap1	match
393	171207	ARHGAP4	Arhgap4	match
394	11855	ARHGAP5	Arhgap5	match
395	11856	ARHGAP6	Arhgap6	match
396	192662	ARHGDIA	Arhgdia	match
397	11857	ARHGDIB	Arhgdib	match
398	14570	ARHGDIG	Arhgdig	match
399	74734	RHOH	Rhoh	match
400	104303	ARL1	Arl1	match
401	11859	PHOX2A	Phox2a	match
402	56327	ARL2	Arl2	match
403	56350	ARL3	Arl3	match
405	11863	ARNT	Arnt	match
406	11865	BMAL1	Bmal1	match
407	170735	ARR3	Arr3	match
408	109689	ARRB1	Arrb1	match
409	216869	ARRB2	Arrb2	match
410	11883	ARSA	Arsa	match
411	11881	ARSB	Arsb	match
412	20905	STS	Sts	match
417	11870	ART1	Art1	match
419	109979	ART3	Art3	match
420	109978	ART4	Art4	match
421	11877	ARVCF	Arvcf	match
427	11886	ASAH1	Asah1	match
429	17172	ASCL1	Ascl1	match
430	17173	ASCL2	Ascl2	match
433	11890	ASGR2	Asgr2	match
434	50518	ASIP	a	human_extra_suffix
435	109900	ASL	Asl	match
438	107626	ASMT	Asmt	match
439	56495	GET3	Get3	match
440	27053	ASNS	Asns	match
443	11484	ASPA	Aspa	match
444	65973	ASPH	Asph	match
445	11898	ASS1	Ass1	match
460	11899	ASTN1	Astn1	match
462	11905	SERPINC1	Serpinc1	match
463	11906	ZFHX3	Zfhx3	match
466	11908	ATF1	Atf1	match
467	11910	ATF3	Atf3	match
468	11911	ATF4	Atf4	match
471	108147	ATIC	Atic	match
472	11920	ATM	Atm	match
473	68703	RERE	Rere	match
474	11921	ATOH1	Atoh1	match
475	11927	ATOX1	Atox1	match
476	11928	ATP1A1	Atp1a1	match
478	232975	ATP1A3	Atp1a3	match
479	192113	ATP12A	Atp12a	match
480	27222	ATP1A4	Atp1a4	match
481	11931	ATP1B1	Atp1b1	match
482	11932	ATP1B2	Atp1b2	match
483	11933	ATP1B3	Atp1b3	match
486	11936	FXYD2	Fxyd2	match
487	11937	ATP2A1	Atp2a1	match
488	11938	ATP2A2	Atp2a2	match
489	53313	ATP2A3	Atp2a3	match
490	67972	ATP2B1	Atp2b1	match
491	11941	ATP2B2	Atp2b2	match
492	320707	ATP2B3	Atp2b3	match
493	381290	ATP2B4	Atp2b4	match
495	11944	ATP4A	Atp4a	match
496	11945	ATP4B	Atp4b	match
498	11946	ATP5F1A	Atp5f1a	match
501	110695	ALDH7A1	Aldh7a1	match
506	11947	ATP5F1B	Atp5f1b	match
509	11949	ATP5F1C	Atp5f1c	match
513	66043	ATP5F1D	Atp5f1d	match
514	67126	ATP5F1E	Atp5f1e	match
515	11950	ATP5PB	Atp5pb	match
516	11951	ATP5MC1	Atp5mc1	match
517	67942	ATP5MC2	Atp5mc2	match
518	228033	ATP5MC3	Atp5mc3	match
521	11958	ATP5ME	Atp5me	match
522	11957	ATP5PF	Atp5pf	match
523	11964	ATP6V1A	Atp6v1a	match
525	110935	ATP6V1B1	Atp6v1b1	match
526	11966	ATP6V1B2	Atp6v1b2	match
527	11984	ATP6V0C	Atp6v0c	match
528	66335	ATP6V1C1	Atp6v1c1	match
529	11973	ATP6V1E1	Atp6v1e1	match
533	114143	ATP6V0B	Atp6v0b	match
534	66237	ATP6V1G2	Atp6v1g2	match
535	11975	ATP6V0A1	Atp6v0a1	match
537	54411	ATP6AP1	Atp6ap1	match
538	11977	ATP7A	Atp7a	match
539	28080	ATP5PO	Atp5po	match
540	11979	ATP7B	Atp7b	match
545	245000	ATR	Atr	match
546	22589	ATRX	Atrx	match
547	16560	KIF1A	Kif1a	match
549	11992	AUH	Auh	match
550	11993	AUP1	Aup1	match
551	11998	AVP	Avp	match
552	54140	AVPR1A	Avpr1a	match
553	26361	AVPR1B	Avpr1b	match
554	12000	AVPR2	Avpr2	match
558	26362	AXL	Axl	match
563	12007	AZGP1	Azgp1	match
567	12010	B2M	B2m	match
570	12012	BAAT	Baat	match
571	12013	BACH1	Bach1	match
572	12015	BAD	Bad	match
573	12017	BAG1	Bag1	match
575	107831	ADGRB1	Adgrb1	match
576	230775	ADGRB2	Adgrb2	match
577	210933	ADGRB3	Adgrb3	match
578	12018	BAK1	Bak1	match
579	12020	NKX3-2	Nkx3-2	match
580	12021	BARD1	Bard1	match
581	12028	BAX	Bax	match
582	52028	BBS1	Bbs1	match
583	67378	BBS2	Bbs2	match
585	102774	BBS4	Bbs4	match
586	12035	BCAT1	Bcat1	match
587	12036	BCAT2	Bcat2	match
590	12038	BCHE	Bche	match
593	12039	BCKDHA	Bckdha	match
594	12040	BCKDHB	Bckdhb	match
595	12443	CCND1	Ccnd1	match
596	12043	BCL2	Bcl2	match
598	12048	BCL2L1	Bcl2l1	match
599	12050	BCL2L2	Bcl2l2	match
602	12051	BCL3	Bcl3	match
604	12053	BCL6	Bcl6	match
605	77045	BCL7A	Bcl7a	match
607	77578	BCL9	Bcl9	match
608	21935	TNFRSF17	Tnfrsf17	match
610	15166	HCN2	Hcn2	match
611	12057	OPN1SW	Opn1sw	match
613	110279	BCR	Bcr	match
617	66821	BCS1L	Bcs1l	match
622	71911	BDH1	Bdh1	match
623	12061	BDKRB1	Bdkrb1	match
624	12062	BDKRB2	Bdkrb2	match
627	12064	BDNF	Bdnf	match
629	14962	CFB	Cfb	match
631	12075	BFSP1	Bfsp1	match
632	12096	BGLAP	Bglap	match
633	12111	BGN	Bgn	match
635	12116	BHMT	Bhmt	match
636	12121	BICD1	Bicd1	match
637	12122	BID	Bid	match
638	12124	BIK	Bik	match
639	12142	PRDM1	Prdm1	match
640	12143	BLK	Blk	match
641	12144	BLM	Blm	match
642	104184	BLMH	Blmh	match
643	12145	CXCR5	Cxcr5	match
644	109778	BLVRA	Blvra	match
645	233016	BLVRB	Blvrb	match
646	12173	BNC1	Bnc1	match
648	12151	BMI1	Bmi1	match
649	12153	BMP1	Bmp1	match
650	12156	BMP2	Bmp2	match
651	110075	BMP3	Bmp3	match
652	12159	BMP4	Bmp4	match
653	12160	BMP5	Bmp5	match
654	12161	BMP6	Bmp6	match
655	12162	BMP7	Bmp7	match
656	12164	BMP8B	Bmp8b	match
657	12166	BMPR1A	Bmpr1a	match
658	12167	BMPR1B	Bmpr1b	match
659	12168	BMPR2	Bmpr2	match
660	12169	BMX	Bmx	match
661	67065	POLR3D	Polr3d	match
662	224630	BNIP1	Bnip1	match
663	12175	BNIP2	Bnip2	match
664	12176	BNIP3	Bnip3	match
665	12177	BNIP3L	Bnip3l	match
666	51800	BOK	Bok	match
667	13518	DST	Dst	match
668	26927	FOXL2	Foxl2	match
669	12183	BPGM	Bpgm	match
670	68021	BPHL	Bphl	match
671	329547	BPI	Bpi	match
672	12189	BRCA1	Brca1	match
673	109880	BRAF	Braf	match
675	12190	BRCA2	Brca2	match
676	114642	BRDT	Brdt	match
677	12192	ZFP36L1	Zfp36l1	match
678	12193	ZFP36L2	Zfp36l2	match
680	12209	BRS3	Brs3	match
682	12215	BSG	Bsg	match
683	12182	BST1	Bst1	match
684	69550	BST2	Bst2	match
685	12223	BTC	Btc	match
686	26363	BTD	Btd	match
687	16601	KLF9	Klf9	match
688	12224	KLF5	Klf5	match
689	218490	BTF3	Btf3	match
694	12226	BTG1	Btg1	match
695	12229	BTK	Btk	match
696	12231	BTN1A1	Btn1a1	match
699	12235	BUB1	Bub1	match
701	12236	BUB1B	Bub1b	match
705	53414	BYSL	Bysl	match
706	12257	TSPO	Tspo	match
708	12261	C1QBP	C1qbp	match
710	12258	SERPING1	Serping1	match
712	12259	C1QA	C1qa	match
713	12260	C1QB	C1qb	match
714	12262	C1QC	C1qc	match
716	317677	C1S	C1s2	mouse_extra_suffix
717	12263	C2	C2	match
718	12266	C3	C3	match
719	12267	C3AR1	C3ar1	match
726	12337	CAPN5	Capn5	match
727	15139	C5	Hc	mismatch
728	12273	C5AR1	C5ar1	match
729	12274	C6	C6	match
730	109828	C7	C7	match
731	230558	C8A	C8a	match
732	110382	C8B	C8b	match
733	69379	C8G	C8g	match
734	209212	OSGIN2	Osgin2	match
735	12279	C9	C9	match
738	68505	VPS51	Vps51	match
740	18120	MRPL49	Mrpl49	match
741	29805	ZNHIT2	Znhit2	match
744	77015	MPPED2	Mpped2	match
745	225908	MYRF	Myrf	match
746	69038	TMEM258	Tmem258	match
747	269060	DAGLA	Dagla	match
752	57778	FMNL1	Fmnl1	match
753	52662	LDLRAD4	Ldlrad4	match
754	108705	PTTG1IP	Pttg1ip	match
755	67884	CFAP410	Cfap410	match
757	77975	TMEM50B	Tmem50b	match
758	223726	MPPED1	Mpped1	match
759	12346	CA1	Car1	mismatch
760	12349	CA2	Car2	mismatch
761	12350	CA3	Car3	mismatch
762	12351	CA4	Car4	mismatch
763	12352	CA5A	Car5a	mismatch
765	12353	CA6	Car6	mismatch
766	12354	CA7	Car7	mismatch
767	12319	CA8	Car8	mismatch
768	230099	CA9	Car9	mismatch
770	12348	CA11	Car11	mismatch
771	76459	CA12	Car12	mismatch
773	12286	CACNA1A	Cacna1a	match
774	12287	CACNA1B	Cacna1b	match
775	12288	CACNA1C	Cacna1c	match
776	12289	CACNA1D	Cacna1d	match
777	12290	CACNA1E	Cacna1e	match
778	54652	CACNA1F	Cacna1f	match
779	12292	CACNA1S	Cacna1s	match
780	12305	DDR1	Ddr1	match
781	12293	CACNA2D1	Cacna2d1	match
782	12295	CACNB1	Cacnb1	match
783	12296	CACNB2	Cacnb2	match
784	12297	CACNB3	Cacnb3	match
785	12298	CACNB4	Cacnb4	match
786	12299	CACNG1	Cacng1	match
788	57279	SLC25A20	Slc25a20	match
790	69719	CAD	Cad	match
793	12307	CALB1	Calb1	match
794	12308	CALB2	Calb2	match
795	12309	S100G	S100g	match
796	12310	CALCA	Calca	match
799	12311	CALCR	Calcr	match
800	109624	CALD1	Cald1	match
801	12313	CALM1	Calm1	match
805	12314	CALM2	Calm2	match
808	12315	CALM3	Calm3	match
810	70405	CALML3	Calml3	match
811	12317	CALR	Calr	match
813	12321	CALU	Calu	match
814	12326	CAMK4	Camk4	match
815	12322	CAMK2A	Camk2a	match
816	12323	CAMK2B	Camk2b	match
817	108058	CAMK2D	Camk2d	match
818	12325	CAMK2G	Camk2g	match
819	12328	CAMLG	Caml	human_extra_suffix
820	12796	CAMP	Camp	match
821	12330	CANX	Canx	match
822	12332	CAPG	Capg	match
823	12333	CAPN1	Capn1	match
824	12334	CAPN2	Capn2	match
825	12335	CAPN3	Capn3	match
826	12336	CAPNS1	Capns1	match
827	12338	CAPN6	Capn6	match
829	12340	CAPZA1	Capza1	match
830	12343	CAPZA2	Capza2	match
831	12380	CAST	Cast	match
832	12345	CAPZB	Capzb	match
833	27267	CARS1	Cars1	match
835	12366	CASP2	Casp2	match
836	12367	CASP3	Casp3	match
839	12368	CASP6	Casp6	match
840	12369	CASP7	Casp7	match
841	12370	CASP8	Casp8	match
842	12371	CASP9	Casp9	match
844	12372	CASQ1	Casq1	match
845	12373	CASQ2	Casq2	match
846	12374	CASR	Casr	match
847	12359	CAT	Cat	match
857	12389	CAV1	Cav1	match
858	12390	CAV2	Cav2	match
859	12391	CAV3	Cav3	match
860	12393	RUNX2	Runx2	match
861	12394	RUNX1	Runx1	match
862	12395	RUNX1T1	Runx1t1	match
863	12398	CBFA2T3	Cbfa2t3	match
864	12399	RUNX3	Runx3	match
865	12400	CBFB	Cbfb	match
866	12401	SERPINA6	Serpina6	match
867	12402	CBL	Cbl	match
868	208650	CBLB	Cblb	match
869	12404	CBLN1	Cbln1	match
871	12406	SERPINH1	Serpinh1	match
873	12408	CBR1	Cbr1	match
874	109857	CBR3	Cbr3	match
875	12411	CBS	Cbs	match
881	442829	CCIN	Ccin	match
883	70266	KYAT1	Kyat1	match
885	12424	CCK	Cck	match
886	12425	CCKAR	Cckar	match
887	12426	CCKBR	Cckbr	match
889	79264	KRIT1	Krit1	match
890	12428	CCNA2	Ccna2	match
891	268697	CCNB1	Ccnb1	match
892	51813	CCNC	Ccnc	match
894	12444	CCND2	Ccnd2	match
896	12445	CCND3	Ccnd3	match
898	12447	CCNE1	Ccne1	match
899	12449	CCNF	Ccnf	match
900	12450	CCNG1	Ccng1	match
901	12452	CCNG2	Ccng2	match
902	66671	CCNH	Ccnh	match
904	12455	CCNT1	Ccnt1	match
905	72949	CCNT2	Ccnt2	match
908	12466	CCT6A	Cct6a	match
912	12479	CD1D	Cd1d1	mouse_extra_suffix
914	12481	CD2	Cd2	match
915	12500	CD3D	Cd3d	match
916	12501	CD3E	Cd3e	match
917	12502	CD3G	Cd3g	match
919	12503	CD247	Cd247	match
920	12504	CD4	Cd4	match
921	12507	CD5	Cd5	match
922	11801	CD5L	Cd5l	match
923	12511	CD6	Cd6	match
924	12516	CD7	Cd7	match
925	12525	CD8A	Cd8a	match
926	12526	CD8B	Cd8b1	mouse_extra_suffix
928	12527	CD9	Cd9	match
929	12475	CD14	Cd14	match
930	12478	CD19	Cd19	match
931	12482	MS4A1	Ms4a1	match
933	12483	CD22	Cd22	match
939	21940	CD27	Cd27	match
940	12487	CD28	Cd28	match
941	12519	CD80	Cd80	match
942	12524	CD86	Cd86	match
943	21941	TNFRSF8	Tnfrsf8	match
944	21949	TNFSF8	Tnfsf8	match
945	12489	CD33	Cd33	match
947	12490	CD34	Cd34	match
948	12491	CD36	Cd36	match
949	20778	SCARB1	Scarb1	match
950	12492	SCARB2	Scarb2	match
951	12493	CD37	Cd37	match
952	12494	CD38	Cd38	match
953	12495	ENTPD1	Entpd1	match
954	12496	ENTPD2	Entpd2	match
955	12497	ENTPD6	Entpd6	match
956	215446	ENTPD3	Entpd3	match
957	12499	ENTPD5	Entpd5	match
958	21939	CD40	Cd40	match
959	21947	CD40LG	Cd40lg	match
960	12505	CD44	Cd44	match
961	16423	CD47	Cd47	match
962	12506	CD48	Cd48	match
963	12508	CD53	Cd53	match
967	12512	CD63	Cd63	match
968	12514	CD68	Cd68	match
970	21948	CD70	Cd70	match
971	12517	CD72	Cd72	match
972	16149	CD74	Cd74	match
973	12518	CD79A	Cd79a	match
974	15985	CD79B	Cd79b	match
975	12520	CD81	Cd81	match
976	26364	ADGRE5	Adgre5	match
977	12476	CD151	Cd151	match
978	72269	CDA	Cda	match
983	12534	CDK1	Cdk1	match
984	12537	CDK11B	Cdk11b	match
987	80877	LRBA	Lrba	match
988	71702	CDC5L	Cdc5l	match
989	235072	SEPTIN7	Septin7	match
990	23834	CDC6	Cdc6	match
991	107995	CDC20	Cdc20	match
993	12530	CDC25A	Cdc25a	match
994	12531	CDC25B	Cdc25b	match
995	12532	CDC25C	Cdc25c	match
996	217232	CDC27	Cdc27	match
997	216150	CDC34	Cdc34	match
998	12540	CDC42	Cdc42	match
999	12550	CDH1	Cdh1	match
1000	12558	CDH2	Cdh2	match
1001	12560	CDH3	Cdh3	match
1002	12561	CDH4	Cdh4	match
1003	12562	CDH5	Cdh5	match
1004	12563	CDH6	Cdh6	match
1005	241201	CDH7	Cdh7	match
1006	12564	CDH8	Cdh8	match
1007	12565	CDH9	Cdh9	match
1008	320873	CDH10	Cdh10	match
1009	12552	CDH11	Cdh11	match
1010	215654	CDH12	Cdh12	match
1012	12554	CDH13	Cdh13	match
1013	12555	CDH15	Cdh15	match
1014	12556	CDH16	Cdh16	match
1015	12557	CDH17	Cdh17	match
1016	320865	CDH18	Cdh18	match
1017	12566	CDK2	Cdk2	match
1019	12567	CDK4	Cdk4	match
1020	12568	CDK5	Cdk5	match
1021	12571	CDK6	Cdk6	match
1022	12572	CDK7	Cdk7	match
1024	264064	CDK8	Cdk8	match
1025	107951	CDK9	Cdk9	match
1026	12575	CDKN1A	Cdkn1a	match
1027	12576	CDKN1B	Cdkn1b	match
1028	12577	CDKN1C	Cdkn1c	match
1030	12579	CDKN2B	Cdkn2b	match
1031	12580	CDKN2C	Cdkn2c	match
1032	12581	CDKN2D	Cdkn2d	match
1033	72391	CDKN3	Cdkn3	match
1036	12583	CDO1	Cdo1	match
1039	12585	CDR2	Cdr2	match
1040	74596	CDS1	Cds1	match
1041	386463	CDSN	Cdsn	match
1043	23833	CD52	Cd52	match
1044	12590	CDX1	Cdx1	match
1045	12591	CDX2	Cdx2	match
1046	12592	CDX4	Cdx4	match
1047	12745	CLGN	Clgn	match
1050	12606	CEBPA	Cebpa	match
1051	12608	CEBPB	Cebpb	match
1052	12609	CEBPD	Cebpd	match
1053	110794	CEBPE	Cebpe	match
1054	12611	CEBPG	Cebpg	match
1056	12613	CEL	Cel	match
1058	12615	CENPA	Cenpa	match
1059	12616	CENPB	Cenpb	match
1060	12617	CENPC	Cenpc1	mouse_extra_suffix
1062	229841	CENPE	Cenpe	match
1063	108000	CENPF	Cenpf	match
1068	26369	CETN1	Cetn1	match
1069	26370	CETN2	Cetn2	match
1070	12626	CETN3	Cetn3	match
1072	12631	CFL1	Cfl1	match
1073	12632	CFL2	Cfl2	match
1075	13032	CTSC	Ctsc	match
1080	12638	CFTR	Cftr	match
1081	12640	CGA	Cga	match
1101	12643	CHAD	Chad	match
1102	105670	RCBTB2	Rcbtb2	match
1103	12647	CHAT	Chat	match
1104	100088	RCC1	Rcc1	match
1105	12648	CHD1	Chd1	match
1106	244059	CHD2	Chd2	match
1107	216848	CHD3	Chd3	match
1108	107932	CHD4	Chd4	match
1111	12649	CHEK1	Chek1	match
1112	71375	FOXN3	Foxn3	match
1113	12652	CHGA	Chga	match
1114	12653	CHGB	Chgb	match
1116	12654	CHI3L1	Chi3l1	match
1118	71884	CHIT1	Chit1	match
1119	12660	CHKA	Chka	match
1120	12651	CHKB	Chkb	match
1121	12662	CHM	Chm	match
1122	12663	CHML	Chml	match
1123	108699	CHN1	Chn1	match
1124	69993	CHN2	Chn2	match
1128	12669	CHRM1	Chrm1	match
1129	243764	CHRM2	Chrm2	match
1130	17101	LYST	Lyst	match
1131	12671	CHRM3	Chrm3	match
1132	12672	CHRM4	Chrm4	match
1133	213788	CHRM5	Chrm5	match
1134	11435	CHRNA1	Chrna1	match
1135	110902	CHRNA2	Chrna2	match
1136	110834	CHRNA3	Chrna3	match
1137	11438	CHRNA4	Chrna4	match
1138	110835	CHRNA5	Chrna5	match
1140	11443	CHRNB1	Chrnb1	match
1141	11444	CHRNB2	Chrnb2	match
1142	108043	CHRNB3	Chrnb3	match
1143	108015	CHRNB4	Chrnb4	match
1144	11447	CHRND	Chrnd	match
1145	11448	CHRNE	Chrne	match
1146	11449	CHRNG	Chrng	match
1147	12675	CHUK	Chuk	match
