human_gene_id	mouse_gene_id	human_symbol	mouse_symbol
8309	93732	ACOX2	Acox2
8310	80911	ACOX3	Acox3
55289	74121	ACOXL	Acoxl
52	11431	ACP1	Acp1
53	11432	ACP2	Acp2
55	56318	ACP3	Acp3
93650	100503991	ACP4	Acp4
54	11433	ACP5	Acp5
51205	66659	ACP6	Acp6
390928	101744	ACP7	Acp7
49	11434	ACR	Acr
84519	54137	ACRBP	Acrbp
56	11451	ACRV1	Acrv1
23205	94180	ACSBG1	Acsbg1
81616	328845	ACSBG2	Acsbg2
80221	264895	ACSF2	Acsf2
197322	257633	ACSF3	Acsf3
2180	14081	ACSL1	Acsl1
2181	74205	ACSL3	Acsl3
2182	50790	ACSL4	Acsl4
51703	433256	ACSL5	Acsl5
23305	216739	ACSL6	Acsl6
116285	117147	ACSM1	Acsm1
6296	20216	ACSM3	Acsm3
341392	233801	ACSM4	Acsm4
54988	272428	ACSM5	Acsm5
84532	68738	ACSS1	Acss1
55902	60525	ACSS2	Acss2
79611	380660	ACSS3	Acss3
58	11459	ACTA1	Acta1
59	11475	ACTA2	Acta2
60	11461	ACTB	Actb
345651	238880	ACTBL2	Actbl2
70	11464	ACTC1	Actc1
71	11465	ACTG1	Actg1
72	11468	ACTG2	Actg2
86	56456	ACTL6A	Actl6a
51412	83766	ACTL6B	Actl6b
10881	11470	ACTL7A	Actl7a
10880	11471	ACTL7B	Actl7b
284382	69481	ACTL9	Actl9
170487	70362	ACTL10	Actl10
284325	414069	ACTMAP	Actmap
87	109711	ACTN1	Actn1
88	11472	ACTN2	Actn2
89	11474	ACTN3	Actn3
81	60595	ACTN4	Actn4
10121	54130	ACTR1A	Actr1a
10120	226977	ACTR1B	Actr1b
10097	66713	ACTR2	Actr2
10096	74117	ACTR3	Actr3
57180	242894	ACTR3B	Actr3b
79913	109275	ACTR5	Actr5
64431	67019	ACTR6	Actr6
93973	56249	ACTR8	Actr8
55860	56444	ACTR10	Actr10
140625	73353	ACTRT2	Actrt2
84517	76652	ACTRT3	Actrt3
90	11477	ACVR1	Acvr1
91	11479	ACVR1B	Acvr1b
130399	269275	ACVR1C	Acvr1c
92	11480	ACVR2A	Acvr2a
93	11481	ACVR2B	Acvr2b
94	11482	ACVRL1	Acvrl1
91703	71670	ACY3	Acy3
97	66204	ACYP1	Acyp1
98	75572	ACYP2	Acyp2
100	11486	ADA	Ada
132612	21744	ADAD1	Adad1
161931	75773	ADAD2	Adad2
2515	11495	ADAM2	Adam2
8756	11500	ADAM7	Adam7
101	11501	ADAM8	Adam8
8754	11502	ADAM9	Adam9
102	11487	ADAM10	Adam10
4185	11488	ADAM11	Adam11
8038	11489	ADAM12	Adam12
8751	11490	ADAM15	Adam15
6868	11491	ADAM17	Adam17
8749	13524	ADAM18	Adam18
8728	11492	ADAM19	Adam19
8747	56622	ADAM21	Adam21
53616	11496	ADAM22	Adam22
8745	23792	ADAM23	Adam23
10863	13522	ADAM28	Adam28
11086	244486	ADAM29	Adam29
11085	71078	ADAM30	Adam30
203102	353188	ADAM32	Adam32
80332	110751	ADAM33	Adam33
27299	58860	ADAMDEC1	Adamdec1
9510	11504	ADAMTS1	Adamts1
9509	216725	ADAMTS2	Adamts2
9508	330119	ADAMTS3	Adamts3
9507	240913	ADAMTS4	Adamts4
11096	23794	ADAMTS5	Adamts5
11174	108154	ADAMTS6	Adamts6
11173	108153	ADAMTS7	Adamts7
11095	30806	ADAMTS8	Adamts8
56999	101401	ADAMTS9	Adamts9
81794	224697	ADAMTS10	Adamts10
81792	239337	ADAMTS12	Adamts12
11093	279028	ADAMTS13	Adamts13
140766	237360	ADAMTS14	Adamts14
170689	235130	ADAMTS15	Adamts15
170690	271127	ADAMTS16	Adamts16
170691	233332	ADAMTS17	Adamts17
170692	208936	ADAMTS18	Adamts18
171019	240322	ADAMTS19	Adamts19
80070	223838	ADAMTS20	Adamts20
92949	77739	ADAMTSL1	Adamtsl1
9719	77794	ADAMTSL2	Adamtsl2
57188	269959	ADAMTSL3	Adamtsl3
54507	229595	ADAMTSL4	Adamtsl4
339366	66548	ADAMTSL5	Adamtsl5
11033	231821	ADAP1	Adap1
55803	216991	ADAP2	Adap2
103	56417	ADAR	Adar
104	110532	ADARB1	Adarb1
105	94191	ADARB2	Adarb2
23536	30947	ADAT1	Adat1
134637	66757	ADAT2	Adat2
113179	100113398	ADAT3	Adat3
57143	72113	ADCK1	Adck1
90956	57869	ADCK2	Adck2
203054	268822	ADCK5	Adck5
107	432530	ADCY1	Adcy1
108	210044	ADCY2	Adcy2
109	104111	ADCY3	Adcy3
196883	104110	ADCY4	Adcy4
111	224129	ADCY5	Adcy5
112	11512	ADCY6	Adcy6
113	11513	ADCY7	Adcy7
114	11514	ADCY8	Adcy8
115	11515	ADCY9	Adcy9
55811	271639	ADCY10	Adcy10
116	11516	ADCYAP1	Adcyap1
117	11517	ADCYAP1R1	Adcyap1r1
118	11518	ADD1	Add1
119	11519	ADD2	Add2
120	27360	ADD3	Add3
79747	215772	ADGB	Adgb
84435	52389	ADGRA1	Adgra1
25960	78560	ADGRA2	Adgra2
166647	70693	ADGRA3	Adgra3
575	107831	ADGRB1	Adgrb1
576	230775	ADGRB2	Adgrb2
577	210933	ADGRB3	Adgrb3
283383	243277	ADGRD1	Adgrd1
2015	13733	ADGRE1	Adgre1
266977	77596	ADGRF1	Adgrf1
165082	381628	ADGRF3	Adgrf3
221393	78249	ADGRF4	Adgrf4
221395	224792	ADGRF5	Adgrf5
9289	14766	ADGRG1	Adgrg1
10149	237175	ADGRG2	Adgrg2
222487	54672	ADGRG3	Adgrg3
139378	236798	ADGRG4	Adgrg4
221188	382045	ADGRG5	Adgrg5
57211	215798	ADGRG6	Adgrg6
84873	239853	ADGRG7	Adgrg7
22859	330814	ADGRL1	Adgrl1
23266	99633	ADGRL2	Adgrl2
23284	319387	ADGRL3	Adgrl3
64123	170757	ADGRL4	Adgrl4
84059	110789	ADGRV1	Adgrv1
127	26876	ADH4	Adh4
128	11532	ADH5	Adh5
131	11529	ADH7	Adh7
137872	76187	ADHFE1	Adhfe1
55256	104923	ADI1	Adi1
149685	246747	ADIG	Adig
9370	11450	ADIPOQ	Adipoq
51094	72674	ADIPOR1	Adipor1
79602	68465	ADIPOR2	Adipor2
54976	67326	ADISSP	Adissp
132	11534	ADK	Adk
133	11535	ADM	Adm
79924	223780	ADM2	Adm2
23394	11538	ADNP	Adnp
22850	240442	ADNP2	Adnp2
84890	211488	ADO	Ado
134	11539	ADORA1	Adora1
135	11540	ADORA2A	Adora2a
136	11541	ADORA2B	Adora2b
140	11542	ADORA3	Adora3
83440	72141	ADPGK	Adpgk
141	11544	ADPRH	Adprh
113622	234072	ADPRHL1	Adprhl1
56985	66358	ADPRM	Adprm
54936	100206	ADPRS	Adprs
148	11549	ADRA1A	Adra1a
147	11548	ADRA1B	Adra1b
146	11550	ADRA1D	Adra1d
150	11551	ADRA2A	Adra2a
151	11552	ADRA2B	Adra2b
152	11553	ADRA2C	Adra2c
153	11554	ADRB1	Adrb1
154	11555	ADRB2	Adrb2
155	11556	ADRB3	Adrb3
11047	56436	ADRM1	Adrm1
158	11564	ADSL	Adsl
122622	11565	ADSS1	Adss1
159	11566	ADSS2	Adss2
84830	109254	ADTRP	Adtrp
165	11568	AEBP1	Aebp1
121536	11569	AEBP2	Aebp2
64782	68048	AEN	Aen
60312	70292	AFAP1	Afap1
134265	106877	AFAP1L1	Afap1l1
84632	226250	AFAP1L2	Afap1l2
4301	17356	AFDN	Afdn
4299	17355	AFF1	Aff1
2334	14266	AFF2	Aff2
3899	16764	AFF3	Aff3
27125	93736	AFF4	Aff4
246269	215951	AFG1L	Afg1l
166378	57815	AFG2A	Afg2a
79029	214616	AFG2B	Afg2b
10939	69597	AFG3L2	Afg3l2
173	280662	AFM	Afm
125061	71562	AFMID	Afmid
174	11576	AFP	Afp
54812	216549	AFTPH	Aftph
175	11593	AGA	Aga
116987	347722	AGAP1	Agap1
116986	216439	AGAP2	Agap2
116988	213990	AGAP3	Agap3
123624	244071	AGBL1	Agbl1
79841	271813	AGBL2	Agbl2
340351	76223	AGBL3	Agbl3
84871	78933	AGBL4	Agbl4
60509	231093	AGBL5	Agbl5
177	11596	AGER	Ager
3267	15463	AGFG1	Agfg1
3268	231801	AGFG2	Agfg2
55109	66549	AGGF1	Aggf1
55750	69923	AGK	Agk
178	77559	AGL	Agl
79814	75986	AGMAT	Agmat
392636	319660	AGMO	Agmo
26523	236511	AGO1	Ago1
27161	239528	AGO2	Ago2
192669	214150	AGO3	Ago3
192670	76850	AGO4	Ago4
10554	55979	AGPAT1	Agpat1
10555	67512	AGPAT2	Agpat2
56894	28169	AGPAT3	Agpat3
56895	68262	AGPAT4	Agpat4
55326	52123	AGPAT5	Agpat5
8540	228061	AGPS	Agps
10551	23795	AGR2	Agr2
155465	403205	AGR3	Agr3
375790	11603	AGRN	Agrn
181	11604	AGRP	Agrp
183	11606	AGT	Agt
23287	67269	AGTPBP1	Agtpbp1
186	11609	AGTR2	Agtr2
57085	11610	AGTRAP	Agtrap
189	11611	AGXT	Agxt
64902	268782	AGXT2	Agxt2
25909	226747	AHCTF1	Ahctf1
10768	229709	AHCYL1	Ahcyl1
23382	74340	AHCYL2	Ahcyl2
27245	230793	AHDC1	Ahdc1
54806	52906	AHI1	Ahi1
79026	66395	AHNAK	Ahnak
113146	100041194	AHNAK2	Ahnak2
196	11622	AHR	Ahr
57491	11624	AHRR	Ahrr
10598	217737	AHSA1	Ahsa1
197	11625	AHSG	Ahsg
51327	170812	AHSP	Ahsp
57379	11628	AICDA	Aicda
64853	108909	AIDA	Aida
199	11629	AIF1	Aif1
83543	108897	AIF1L	Aif1l
9131	26926	AIFM1	Aifm1
84883	71361	AIFM2	Aifm2
150209	72168	AIFM3	Aifm3
51390	66253	AIG1	Aig1
9447	383619	AIM2	Aim2
9255	13722	AIMP1	Aimp1
7965	231872	AIMP2	Aimp2
9049	11632	AIP	Aip
23746	114230	AIPL1	Aipl1
326	11634	AIRE	Aire
54955	194268	AIRIM	Airim
55966	230959	AJAP1	Ajap1
389813	381353	AJM1	Ajm1
84962	16475	AJUBA	Ajuba
203	11636	AK1	Ak1
204	11637	AK2	Ak2
50808	56248	AK3	Ak3
205	11639	AK4	Ak4
26289	229949	AK5	Ak5
102157402	102216272	AK6	Ak6
122481	78801	AK7	Ak7
158067	68870	AK8	Ak8
221264	633979	AK9	Ak9
642597	320722	AKAIN1	Akain1
8165	11640	AKAP1	Akap1
10566	11642	AKAP3	Akap3
8852	11643	AKAP4	Akap4
9495	238276	AKAP5	Akap5
9472	238161	AKAP6	Akap6
9465	432442	AKAP7	Akap7
10270	56399	AKAP8	Akap8
26993	54194	AKAP8L	Akap8l
10142	100986	AKAP9	Akap9
11216	56697	AKAP10	Akap10
11215	219181	AKAP11	Akap11
9590	83397	AKAP12	Akap12
11214	75547	AKAP13	Akap13
158798	434756	AKAP14	Akap14
8227	118568424	AKAP17A	Akap17a
84281	67080	AKAP19	1700019D03Rik
56672	57373	AKIP1	Akip1
79647	68050	AKIRIN1	Akirin1
55122	433693	AKIRIN2	Akirin2
80709	100182	AKNA	Akna
254268	329738	AKNAD1	Aknad1
10327	58810	AKR1A1	Akr1a1
231	11677	AKR1B1	Akr1b1
6718	208665	AKR1D1	Akr1d1
83592	56043	AKR1E2	Akr1e1
8574	110198	AKR7A2	Akr7a5
207	11651	AKT1	Akt1
84335	67605	AKT1S1	Akt1s1
208	11652	AKT2	Akt2
10000	23797	AKT3	Akt3
64400	14339	AKTIP	Aktip
210	17025	ALAD	Alad
211	11655	ALAS1	Alas1
212	11656	ALAS2	Alas2
213	11657	ALB	Alb
214	11658	ALCAM	Alcam
8854	19378	ALDH1A2	Aldh1a2
220	56847	ALDH1A3	Aldh1a3
219	72535	ALDH1B1	Aldh1b1
10840	107747	ALDH1L1	Aldh1l1
160428	216188	ALDH1L2	Aldh1l2
217	11669	ALDH2	Aldh2
218	11670	ALDH3A1	Aldh3a1
224	11671	ALDH3A2	Aldh3a2
221	67689	ALDH3B1	Aldh3b1
8659	212647	ALDH4A1	Aldh4a1
7915	214579	ALDH5A1	Aldh5a1
4329	104776	ALDH6A1	Aldh6a1
501	110695	ALDH7A1	Aldh7a1
64577	237320	ALDH8A1	Aldh8a1
223	56752	ALDH9A1	Aldh9a1
126133	69748	ALDH16A1	Aldh16a1
5832	56454	ALDH18A1	Aldh18a1
226	11674	ALDOA	Aldoa
229	230163	ALDOB	Aldob
230	11676	ALDOC	Aldoc
56052	208211	ALG1	Alg1
85365	56737	ALG2	Alg2
10195	208624	ALG3	Alg3
29880	66248	ALG5	Alg5
29929	320438	ALG6	Alg6
79053	381903	ALG8	Alg8
79796	102580	ALG9	Alg9
440138	207958	ALG11	Alg11
79087	223774	ALG12	Alg12
199857	66789	ALG14	Alg14
238	11682	ALK	Alk
389658	620393	ALKAL1	Alkal1
285016	100294583	ALKAL2	Alkal2
8846	211064	ALKBH1	Alkbh1
121642	231642	ALKBH2	Alkbh2
221120	69113	ALKBH3	Alkbh3
54784	72041	ALKBH4	Alkbh4
54890	268420	ALKBH5	Alkbh5
84964	233065	ALKBH6	Alkbh6
84266	66400	ALKBH7	Alkbh7
91801	67667	ALKBH8	Alkbh8
55821	94041	ALLC	Allc
7840	236266	ALMS1	Alms1
240	11689	ALOX5	Alox5
241	11690	ALOX5AP	Alox5ap
239	11684	ALOX12	Alox12
242	11686	ALOX12B	Alox12b
246	11687	ALOX15	Alox15
247	11688	ALOX15B	Alox8
59344	23801	ALOXE3	Aloxe3
80216	71481	ALPK1	Alpk1
115701	225638	ALPK2	Alpk2
57538	116904	ALPK3	Alpk3
249	11647	ALPL	Alpl
57679	74018	ALS2	Als2
259173	235633	ALS2CL	Als2cl
8092	216285	ALX1	Alx1
257	11694	ALX3	Alx3
60529	11695	ALX4	Alx4
10189	21681	ALYREF	Alyref
23600	17117	AMACR	Amacr
258	11698	AMBN	Ambn
259	11699	AMBP	Ambp
55626	228361	AMBRA1	Ambra1
144193	71761	AMDHD1	Amdhd1
51005	245847	AMDHD2	Amdhd2
139285	72345	AMER1	Amer1
219287	72125	AMER2	Amer2
205147	211383	AMER3	Amer3
267	23802	AMFR	Amfr
268	11705	AMH	Amh
269	110542	AMHR2	Amhr2
57463	229715	AMIGO1	Amigo1
347902	105827	AMIGO2	Amigo2
386724	320844	AMIGO3	Amigo3
9949	56068	AMMECR1	Ammecr1
83607	225339	AMMECR1L	Ammecr1l
81693	93835	AMN	Amn
196394	232566	AMN1	Amn1
154796	27494	AMOT	Amot
154810	75723	AMOTL1	Amotl1
51421	56332	AMOTL2	Amotl2
270	229665	AMPD1	Ampd1
271	109674	AMPD2	Ampd2
272	11717	AMPD3	Ampd3
273	218038	AMPH	Amph
275	434437	AMT	Amt
401138	71421	AMTN	Amtn
155185	231842	AMZ1	Amz1
51321	13929	AMZ2	Amz2
64682	17222	ANAPC1	Anapc1
29882	99152	ANAPC2	Anapc2
29945	52206	ANAPC4	Anapc4
51433	59008	ANAPC5	Anapc5
51434	56317	ANAPC7	Anapc7
10393	68999	ANAPC10	Anapc10
51529	66156	ANAPC11	Anapc11
25847	69010	ANAPC13	Anapc13
25906	75430	ANAPC15	Anapc15
119504	52717	ANAPC16	Anapc16
23357	68737	ANGEL1	Angel1
90806	52477	ANGEL2	Angel2
284	11600	ANGPT1	Angpt1
285	11601	ANGPT2	Angpt2
51378	11602	ANGPT4	Angpt4
9068	72713	ANGPTL1	Angptl1
23452	26360	ANGPTL2	Angptl2
27329	30924	ANGPTL3	Angptl3
51129	57875	ANGPTL4	Angptl4
83854	70726	ANGPTL6	Angptl6
10218	654812	ANGPTL7	Angptl7
55908	624219	ANGPTL8	Angptl8
286	11733	ANK1	Ank1
287	109676	ANK2	Ank2
288	11735	ANK3	Ank3
150709	319695	ANKAR	Ankar
348094	330963	ANKDD1A	Ankdd1a
728780	271144	ANKDD1B	Ankdd1b
63926	319196	ANKEF1	Ankef1
162282	382543	ANKFN1	Ankfn1
51479	11736	ANKFY1	Ankfy1
56172	11732	ANKH	Ank
54467	70797	ANKIB1	Ankib1
255239	244859	ANKK1	Ankk1
126549	234396	ANKLE1	Ankle1
23141	71782	ANKLE2	Ankle2
51281	241158	ANKMY1	Ankmy1
57037	217473	ANKMY2	Ankmy2
57763	68558	ANKRA2	Ankra2
27063	107765	ANKRD1	Ankrd1
26287	56642	ANKRD2	Ankrd2
22881	140577	ANKRD6	Ankrd6
56311	75196	ANKRD7	Ankrd7
122416	74251	ANKRD9	Ankrd9
55608	102334	ANKRD10	Ankrd10
29123	77087	ANKRD11	Ankrd11
23253	106585	ANKRD12	Ankrd12
88455	68420	ANKRD13A	Ankrd13a
124930	268445	ANKRD13B	Ankrd13b
81573	433667	ANKRD13C	Ankrd13c
338692	68423	ANKRD13D	Ankrd13d
54522	320816	ANKRD16	Ankrd16
26057	81702	ANKRD17	Ankrd17
118932	52024	ANKRD22	Ankrd22
200539	78321	ANKRD23	Ankrd23
170961	70615	ANKRD24	Ankrd24
84079	245886	ANKRD27	Ankrd27
23243	105522	ANKRD28	Ankrd28
147463	225187	ANKRD29	Ankrd29
256006	625662	ANKRD31	Ankrd31
341405	208258	ANKRD33	Ankrd33
651746	67434	ANKRD33B	Ankrd33b
284615	545554	ANKRD34A	Ankrd34a
340120	218440	ANKRD34B	Ankrd34b
390616	330998	ANKRD34C	Ankrd34c
148741	213121	ANKRD35	Ankrd35
353322	654824	ANKRD37	Ankrd37
51239	109346	ANKRD39	Ankrd39
91369	71452	ANKRD40	Ankrd40
55018	102639132	ANKRD40CL	Ankrd40cl
338699	73845	ANKRD42	Ankrd42
91526	329154	ANKRD44	Ankrd44
339416	73844	ANKRD45	Ankrd45
157567	68839	ANKRD46	Ankrd46
54851	56503	ANKRD49	Ankrd49
57182	99696	ANKRD50	Ankrd50
283373	237615	ANKRD52	Ankrd52
79998	75305	ANKRD53	Ankrd53
129138	223690	ANKRD54	Ankrd54
79722	77318	ANKRD55	Ankrd55
140731	70065	ANKRD60	Ankrd60
100310846	66729	ANKRD61	Ankrd61
100131244	383787	ANKRD63	Ankrd63
441869	242805	ANKRD65	Ankrd65
100287718	100043332	ANKRD66	Ankrd66
23294	224650	ANKS1A	Anks1
56899	77531	ANKS1B	Anks1b
124401	72615	ANKS3	Anks3
257629	72074	ANKS4B	Anks4b
203286	75691	ANKS6	Anks6
389161	242037	ANKUB1	Ankub1
55139	52231	ANKZF1	Ankzf1
54443	68743	ANLN	Anln
55107	101772	ANO1	Ano1
57101	243634	ANO2	Ano2
63982	228432	ANO3	Ano3
121601	320091	ANO4	Ano4
203859	233246	ANO5	Ano5
196527	105722	ANO6	Ano6
50636	404545	ANO7	Ano7
57719	382014	ANO8	Ano8
338440	71345	ANO9	Ano9
55129	102566	ANO10	Ano10
8125	11737	ANP32A	Anp32a
10541	67628	ANP32B	Anp32b
81611	66471	ANP32E	Anp32e
290	16790	ANPEP	Anpep
65990	214917	ANTKMT	Antkmt
84168	69538	ANTXR1	Antxr1
118429	71914	ANTXR2	Antxr2
195977	239029	ANTXRL	Antxrl
301	16952	ANXA1	Anxa1
302	12306	ANXA2	Anxa2
306	11745	ANXA3	Anxa3
307	11746	ANXA4	Anxa4
308	11747	ANXA5	Anxa5
309	11749	ANXA6	Anxa6
310	11750	ANXA7	Anxa7
8416	71790	ANXA9	Anxa9
11199	26359	ANXA10	Anxa10
311	11744	ANXA11	Anxa11
312	69787	ANXA13	Anxa13
313	27052	AOAH	Aoah
314	237940	AOC2	Aoc2
8639	11754	AOC3	Aoc3
84909	72061	AOPEP	Aopep
316	11761	AOX1	Aox1
55435	211556	AP1AR	Ap1ar
162	11764	AP1B1	Ap1b1
164	11765	AP1G1	Ap1g1
8906	11766	AP1G2	Ap1g2
8907	11767	AP1M1	Ap1m1
10053	11768	AP1M2	Ap1m2
1174	11769	AP1S1	Ap1s1
8905	108012	AP1S2	Ap1s2
130340	252903	AP1S3	Ap1s3
160	11771	AP2A1	Ap2a1
161	11772	AP2A2	Ap2a2
163	71770	AP2B1	Ap2b1
1173	11773	AP2M1	Ap2m1
1175	232910	AP2S1	Ap2s1
8546	11774	AP3B1	Ap3b1
8120	11775	AP3B2	Ap3b2
8943	11776	AP3D1	Ap3d1
26985	55946	AP3M1	Ap3m1
10947	64933	AP3M2	Ap3m2
1176	11777	AP3S1	Ap3s1
10239	11778	AP3S2	Ap3s2
10717	67489	AP4B1	Ap4b1
23431	108011	AP4E1	Ap4e1
9179	11781	AP4M1	Ap4m1
11154	11782	AP4S1	Ap4s1
91056	381201	AP5B1	Ap5b1
55745	74385	AP5M1	Ap5m1
55317	69596	AP5S1	Ap5s1
9907	231855	AP5Z1	Ap5z1
317	11783	APAF1	Apaf1
320	319924	APBA1	Apba1
321	11784	APBA2	Apba2
9546	57267	APBA3	Apba3
322	11785	APBB1	Apbb1
54518	54519	APBB1IP	Apbb1ip
323	11787	APBB2	Apbb2
10307	225372	APBB3	Apbb3
324	11789	APC	Apc
10297	23805	APC2	Apc2
147495	494504	APCDD1	Apcdd1
325	20219	APCS	Apcs
327	235606	APEH	Apeh
100506013	100038489	APELA	Apela
328	11792	APEX1	Apex1
27301	77622	APEX2	Apex2
51107	226548	APH1A	Aph1a
8539	11800	API5	Api5
51074	56369	APIP	Apip
200558	72103	APLF	Aplf
8862	30878	APLN	Apln
187	23796	APLNR	Aplnr
333	11803	APLP1	Aplp1
334	11804	APLP2	Aplp2
57136	71881	APMAP	Apmap
335	11806	APOA1	Apoa1
336	11807	APOA2	Apoa2
337	11808	APOA4	Apoa4
116519	66113	APOA5	Apoa5
338	238055	APOB	Apob
339	11810	APOBEC1	Apobec1
10930	11811	APOBEC2	Apobec2
403314	71281	APOBEC4	Apobec4
55911	171504	APOBR	Apobr
341	11812	APOC1	Apoc1
345	11814	APOC3	Apoc3
346	11425	APOC4	Apoc4
347	11815	APOD	Apod
348	11816	APOE	Apoe
319	103161	APOF	Apof
350	11818	APOH	Apoh
80830	71939	APOL6	Apol6
81575	381823	APOLD1	Apold1
55937	55938	APOM	Apom
79135	68316	APOO	Apoo
139322	68117	APOOL	Apool
351	11820	APP	App
10513	66884	APPBP2	Appbp2
26060	72993	APPL1	Appl1
55198	216190	APPL2	Appl2
353	11821	APRT	Aprt
54840	66408	APTX	Aptx
358	11826	AQP1	Aqp1
